date,A2C,DDPG,PPO,TD3,SAC,Ensemble,VNINDEX
2019-10-09,9764530017.733206,10143160302.455797,9990048181.845978,10222827352.645847,9944608173.115952,10105967352.139542,11077432015.699469
2019-10-10,9764709081.349785,10132286701.731037,9988892521.034409,10215826785.824259,9939836664.856573,10104862023.362812,11072385758.340342
2019-10-11,9790758287.18293,10161030582.83453,9991052689.085321,10246185071.08291,9976861246.946293,10111130810.490925,11122399775.721897
2019-10-14,9815402431.581429,10165548927.352459,9996163933.778795,10269270469.197308,9997288314.195038,10112320664.431704,11141799831.791422
2019-10-15,9802570084.558567,10187279370.749815,9996971766.483032,10298737949.44196,9997742316.767258,10114203845.433985,11135968601.065321
2019-10-16,9829375161.803387,10172516825.75092,9997683850.030632,10278184906.35674,10011705769.497719,10114310827.24337,11151780207.457247
2019-10-17,9823789941.72681,10118170758.243217,9995175437.302696,10206979903.62397,9997424218.467274,10101477187.177431,11099747687.132044
2019-10-18,9840729235.538109,10099616582.445112,9994777047.114586,10195418076.998158,10018542529.150564,10097649812.017937,11092795065.881693
2019-10-21,9842417594.9882,10068749354.10321,9993695256.58447,10152756874.913773,10026156800.99321,10078108153.180763,11029548640.313988
2019-10-22,9824020574.430744,10067267004.017506,9989688307.977259,10147143659.795502,10019114301.501104,10094525884.005983,11070255116.344267
2019-10-23,9822260746.240952,10094571719.082329,9990956790.237015,10171063496.487808,10021283884.083519,10089294766.536352,11076983459.489767
2019-10-24,9835706267.78849,10128357554.795593,9994592720.619993,10243297042.973808,10054836149.156462,10123568437.080725,11142136248.948698
2019-10-25,9881946639.494495,10132808106.489702,9997676972.298248,10255299572.15685,10087917827.92327,10138901046.921196,11175441547.518925
2019-10-28,9872940087.241085,10128390064.018898,9997474189.696095,10248534421.103765,10086718111.517702,10136921231.442726,11174432296.047098
2019-10-29,9863324948.266739,10125027046.838871,9998386461.870203,10229197721.332588,10081614621.28048,10122779729.367502,11167591813.849174
2019-10-30,9836663999.996954,10176058339.208939,9995197269.683722,10282685561.27869,10089533719.82903,10131306231.963886,11223885618.166527
2019-10-31,9808672715.263235,10154840408.433132,9989340814.896444,10253734674.159222,10035580126.254921,10111987668.03992,11200672834.31455
2019-11-01,9888419161.930237,10272292729.239536,9996184584.503956,10369754334.780342,10150531339.264896,10125862721.815918,11388730025.231287
2019-11-04,9868760382.20599,10329779248.997604,9995964957.77919,10438279572.3761,10139510765.227577,10164098319.975727,11465433137.08999
2019-11-05,9870715997.883652,10313258418.565304,9994511918.50797,10453766203.06733,10129092028.853577,10169149894.794613,11486851696.103167
2019-11-06,9880818785.507755,10321642847.598059,9996737662.722721,10453295164.296911,10140837335.515331,10171949137.356932,11493243622.091394
2019-11-07,9865854608.161165,10344823153.44898,9999541972.159163,10478852971.728792,10115945276.58923,10178551132.162188,11483375385.477991
2019-11-08,9859847801.535301,10347857372.55909,9999565996.496325,10470326511.809958,10113800822.70899,10175165935.856997,11466105971.404541
2019-11-11,9850676097.6428,10258333394.714159,9994947490.391512,10383220476.145485,10075047556.817616,10170209766.413418,11401738155.312588
2019-11-12,9841348924.494062,10287207273.534672,9992515411.143766,10416785650.931925,10059415014.563984,10171271813.706238,11419456125.59574
2019-11-13,9792078501.747726,10251494286.734037,9986915243.420906,10362265052.202917,10012406436.125042,10149044719.382929,11357106812.447435
2019-11-14,9800810810.057518,10263553580.089722,9985652606.462563,10350399956.545002,10017913165.74592,10145832673.03347,11351836276.983458
2019-11-15,9769193946.460802,10235788549.454489,9979676765.041693,10333901644.38303,9974971885.91231,10134306097.604937,11326380712.082981
2019-11-18,9718203936.385212,10167129754.078505,9974647721.811443,10252682415.856678,9897128512.865646,10110429027.363651,11246537706.756376
2019-11-19,9771928620.550259,10203437520.66328,9982014170.788124,10294455205.317926,9947322713.014769,10141280423.9688,11307541351.275583
2019-11-20,9752302488.36562,10138666471.147266,9978551470.098974,10196426091.649628,9901860884.949278,10121236379.87912,11220185029.4365
2019-11-21,9685303949.761642,10026307572.484308,9968297154.388763,10064744484.312025,9846429128.426067,10095639941.692848,11078104850.014017
2019-11-22,9659694560.329437,9977877054.49498,9959053668.058992,9996349780.347775,9838920475.815197,10061152380.963505,10964732268.012337
2019-11-25,9700159541.788599,9973332583.617094,9959653694.448864,9992399630.879566,9847167088.521027,10046664674.838177,10948696383.51556
2019-11-26,9699885954.333199,9962270963.999163,9960879332.340158,9997406399.13643,9843348990.10055,10052414072.954546,10953630501.82226
2019-11-27,9682111531.10743,9978153799.852877,9959646154.762987,10012255084.947334,9835799986.82278,10062348791.362148,10969105691.056911
2019-11-28,9649658241.418781,9922527794.20113,9954366346.815517,9942792270.890024,9817563979.468224,10043677990.842972,10881861508.270254
2019-11-29,9646993628.372297,9936787500.869244,9955152898.66925,9958529072.668192,9814097062.22222,10045194820.095287,10885898514.157555
2019-12-02,9543811539.568794,9853063391.974669,9943189676.920113,9832147042.292547,9727355752.55051,10008703265.90137,10757611438.183348
2019-12-03,9461131950.136143,9745982895.586693,9931039429.039417,9715899323.352505,9704020853.111835,9992821840.332516,10691673675.357443
2019-12-04,9532567525.35495,9794679954.614317,9938393283.233194,9796455261.472403,9790096606.723324,10030368798.673147,10831511073.731426
2019-12-05,9500787743.857718,9791229051.013206,9933988961.951546,9792660980.246094,9783400009.994862,10023271346.798326,10802018502.94365
2019-12-06,9477779133.944904,9805926205.440487,9932019176.54709,9804974361.024773,9766784118.221981,10022638651.73364,10805270535.463976
2019-12-09,9502320420.809235,9775188499.909338,9931994661.123837,9781319320.664644,9800111285.107082,10026490940.462118,10833305298.570227
2019-12-10,9533971670.889864,9693372862.507269,9925386405.744207,9701227944.334826,9795140053.059116,10021335335.628056,10768713204.373423
2019-12-11,9541597712.392384,9683751544.57873,9926034313.460157,9700596726.70347,9800484228.252306,10031119553.80838,10785309784.132324
2019-12-12,9558579922.235428,9766154270.211689,9934693374.514683,9813903054.4782,9828426405.529377,10055787544.343664,10856966638.631905
2019-12-13,9539122558.35619,9761603796.523882,9929819764.843637,9815331235.379198,9805908866.279428,10052985551.863808,10834650967.199326
2019-12-16,9650552221.300383,9700708141.98973,9929976190.15233,9750337864.811646,9816676556.39712,10048038583.903664,10781833473.50715
2019-12-17,9608914233.628525,9664167522.696236,9922765167.721489,9695919512.87321,9779445776.559807,10025786985.660551,10698402018.502943
2019-12-18,9632866384.305122,9674334776.015223,9923893843.343594,9704029842.313679,9779486839.147762,10035012006.625795,10665881693.299692
2019-12-19,9609929595.598988,9657574820.744473,9922744761.347008,9692712951.114342,9791826054.790918,10044541420.172352,10678553406.223717
2019-12-20,9645374521.309864,9652965973.955093,9924491713.22144,9715062405.012997,9793441651.246914,10047524200.909037,10725091112.980095
2019-12-23,9609021185.88882,9626133562.515976,9915369834.99412,9683235365.799786,9764428667.08242,10047845861.390997,10758957106.812449
2019-12-24,9575728045.13279,9676747621.71331,9922692532.867336,9742827677.18818,9776251623.144978,10055444581.314926,10752789458.929073
2019-12-25,9546876374.597063,9689478476.240011,9922429497.703362,9767297020.876446,9760342251.217144,10054139459.2046,10775665825.623772
2019-12-26,9532454456.039337,9704169976.763222,9925755881.333822,9780875176.52763,9757390170.345957,10057696728.690308,10749537426.408747
2019-12-27,9584689388.169142,9735885556.520206,9928387874.722216,9805302712.250914,9793090642.40923,10069914698.887976,10804709840.201849
2019-12-30,9563679281.68158,9775732003.919054,9927757292.664404,9864239676.065477,9751687399.303127,10074893289.506914,10821754976.17045
2019-12-31,9546610419.75151,9746983751.772636,9925191687.77184,9823239945.108618,9749775414.699692,10067007578.476503,10776450798.99075
2020-01-02,9588197593.102089,9781221097.849518,9931098164.030045,9864447079.389482,9778116686.136595,10073979179.31773,10840145780.76815
2020-01-03,9585935414.3527,9755534980.750456,9930199817.383686,9842208082.55681,9791336482.254305,10069239276.335775,10822988505.747126
2020-01-06,9543367761.73485,9677285344.472012,9927817344.822006,9786603442.115675,9766490804.70767,10064940762.395777,10718138491.729746
2020-01-07,9550861118.43362,9675350215.180069,9931544969.995153,9787690579.92087,9760461254.71092,10068672248.694382,10752789458.929073
2020-01-08,9511172959.973475,9619728809.169851,9923982660.803211,9689651942.87023,9746092215.723305,10046448576.731112,10641771797.028315
2020-01-09,9507506306.020247,9695664312.647186,9926646463.255371,9768689579.073866,9771187509.179226,10053950884.197012,10767031118.587048
2020-01-10,9563239462.19832,9707776282.342686,9928105416.614712,9784757708.46539,9781265336.994247,10060367520.247858,10861115783.571629
2020-01-13,9520345419.96254,9713062284.190552,9925135155.143297,9758846803.906229,9737426096.68807,10048880455.323969,10830838239.416878
2020-01-14,9535540751.506214,9723002591.307764,9924770107.464607,9754121625.692669,9762474105.22213,10046369410.641926,10843846369.498178
2020-01-15,9521783303.52324,9708745348.559772,9923937930.543762,9739939007.552301,9755878841.844858,10043773711.709358,10850126156.433977
2020-01-16,9540038189.614014,9728379945.600582,9928141870.045073,9774950366.67933,9784655751.67081,10050723586.37552,10925820016.820858
2020-01-17,9537288477.55886,9790530754.214195,9926216822.951529,9828096171.002106,9785241897.339005,10063419214.528202,10977964676.198486
2020-01-20,9524057104.897978,9771109177.248865,9925472048.166393,9805994744.21407,9799044019.671389,10061341783.92202,10974264087.468462
2020-01-21,9593365659.372692,9795314509.88927,9931985304.67558,9825207432.923136,9870616696.70274,10078560809.408752,11061059714.045416
2020-01-22,9641269162.23826,9766601372.241526,9932636844.115429,9816337256.23415,9892650679.82412,10085103117.653332,11118138491.729746
2020-01-30,9401884598.926117,9566292263.421822,9905840640.399132,9556569482.617481,9723017942.58022,10013448606.284325,10760639192.598822
2020-01-31,9094027633.534971,9477467319.914322,9874202360.482952,9396185408.541769,9482908709.049637,9934664501.024565,10503167928.231007
2020-02-03,8977532388.41096,9434349258.803728,9861824547.701782,9298273194.85951,9440747229.592821,9931925402.52006,10408074011.7746
2020-02-04,8909958160.759743,9437814814.877493,9852181384.300148,9301766691.975077,9369105820.76107,9931975554.240677,10418727221.754978
2020-02-05,8969746203.679045,9410988648.849771,9856969916.67022,9292223173.157738,9408886203.242348,9931961700.219454,10383067003.083824
2020-02-06,9077588948.525936,9465893549.606361,9873008463.025366,9420889404.288456,9497053933.297997,9933313310.992174,10524698626.296606
2020-02-07,9150888221.844015,9467961996.953426,9880094457.411108,9417862671.760883,9526679119.985573,9932553645.827593,10549481356.882536
2020-02-10,9063506388.876978,9409142264.408377,9874575457.35041,9342223684.094334,9459912692.476864,9931515928.76914,10437118026.352678
2020-02-11,9059719412.05518,9423235380.50448,9877386528.84775,9399779507.623426,9426719038.436045,9932636712.490229,10481300813.00813
2020-02-12,9108088390.264221,9432708271.346119,9889496763.939621,9469557992.413214,9433720172.001461,9933545108.305649,10515054667.788057
2020-02-13,9130944500.816317,9432034695.649504,9893702423.316366,9489193328.170021,9417381620.299833,9934732388.048658,10521334454.723858
2020-02-14,9117346806.83458,9380098503.838106,9895761116.052906,9428201560.58335,9355342754.578495,9932809561.582012,10512475469.582283
2020-02-17,9114545875.955326,9323653001.10062,9895946807.192678,9379295301.246508,9321348823.357101,9930576925.796164,10482422203.53238
2020-02-18,9075747256.679716,9240965619.28903,9892895796.52882,9330709507.930765,9184887342.573172,9928382165.581532,10405719091.673676
2020-02-19,9117110665.037533,9271981316.794147,9896691790.237072,9367861360.441711,9212025772.283768,9929577796.623924,10415026633.02495
2020-02-20,9145553537.718987,9422977364.873158,9899591304.356428,9502316820.101559,9345521767.77512,9936279682.634356,10520100925.147182
2020-02-21,9197511043.061184,9437033499.479595,9905777031.271603,9495122805.2828,9377750863.805609,9933006640.95268,10463582842.72498
2020-02-24,9015483335.066175,9213569933.334555,9879752012.18476,9211652323.76724,9177381160.397842,9919843252.325115,10129969161.760584
2020-02-25,9099185959.257067,9201951502.847153,9888134568.622894,9248110509.318386,9242433927.939384,9924773155.6624,10200953181.945612
2020-02-26,8985492824.40338,9113541790.900253,9877357146.043222,9171011494.940744,9131546460.027685,9921759124.558336,10047322680.123354
2020-02-27,9085943890.151455,9117231241.810848,9889682492.475086,9205576302.41704,9206591345.342545,9924536177.89142,10075021026.07233
2020-02-28,8945508343.130875,9033614973.571257,9873792741.390123,9093997161.765251,9111202651.441444,9918754499.83999,9892795065.881695
2020-03-02,8958849589.24868,9029636551.58713,9875416672.46423,9120151105.967455,9140563981.276453,9918040822.99191,9917914213.624895
2020-03-03,9018199331.231424,9042531596.007761,9880169498.325684,9145195951.019396,9170263292.00412,9918167940.96014,9987216148.023548
2020-03-04,9031069414.52524,9054291942.079124,9882835700.474075,9167591487.757109,9191194691.961853,9918253162.599344,9973310905.522848
2020-03-05,9005411614.728039,9130118799.663406,9884696543.285406,9196292127.553907,9178290073.752975,9917957263.486015,10017493692.1783
2020-03-06,8977596922.28294,9219844368.072962,9888070910.67016,9248448133.156519,9153243382.396126,9917137976.211914,9996523689.374826
2020-03-09,8612248610.199295,8755064021.951416,9840928232.802313,8676748108.479858,8651369025.870968,9909053244.75616,9369105691.05691
2020-03-10,8620620929.474367,8789426243.015284,9847569432.219038,8705613268.168327,8737274653.67889,9908877922.60666,9391645640.594337
2020-03-11,8469645293.682096,8604462113.041414,9824961665.052574,8473667877.507891,8621448053.262163,9908877922.60666,9098402018.502943
2020-03-12,8261466547.680038,8285643010.294909,9797765647.871555,8054690968.927285,8345239457.421124,9908877922.60666,8626296607.793665
2020-03-13,8143712430.155619,8281745541.440752,9788037074.56354,8030613429.078252,8330760981.737849,9908877922.60666,8542528735.632183
2020-03-16,7987700164.249302,8171823517.6194,9772815686.513655,7880416296.988044,8233376362.770238,9908877922.60666,8386431174.656574
2020-03-17,8012171964.382021,8148717808.8225975,9784855365.461287,7896705490.521572,8167012276.600109,9908877922.60666,8363106251.752172
2020-03-18,7972296688.750967,8197372968.1409,9777932874.559124,7915916214.062172,8142700841.38142,9908877922.60666,8384188393.608074
2020-03-19,7767049167.098915,8088929806.57214,9757333806.08309,7792419298.065677,7982162970.29273,9908556521.26396,8140622371.74096
2020-03-20,7715277873.479584,7841613275.2759075,9760514603.944181,7585211391.196469,7829047432.3958435,9908524971.457376,7958844967.760022
2020-03-23,7410879817.1187525,7514783407.60408,9720954417.159712,7168927431.612638,7414162509.990201,9908524971.457376,7475077095.598542
2020-03-24,7483118742.555422,7375096213.00609,9718411075.481655,7035905406.570188,7296387647.967591,9907946477.257671,7392318474.908888
2020-03-25,7701340146.676425,7642721769.41412,9738975226.41842,7282925915.219152,7615983403.555909,9907918521.10819,7740398093.636108
