date,ensemble
2020-12-25,10436431098.93232
2020-12-28,10462881329.222466
2020-12-29,10463731679.296556
2020-12-30,10456135293.345528
2020-12-31,10491463937.421936
2021-01-04,10488606220.577587
2021-01-05,10488873112.731585
2021-01-06,10489010452.696585
2021-01-07,10489562877.156273
2021-01-08,10490024974.381046
2021-01-11,10490646769.684229
2021-01-12,10492281937.78166
2021-01-13,10492684383.29295
2021-01-14,10496360351.178707
2021-01-15,10499592610.994965
2021-01-18,10500756214.019377
2021-01-19,10493183585.904314
2021-01-20,10492507468.465666
2021-01-21,10499144216.785557
2021-01-22,10500736399.250423
2021-01-25,10501491479.10357
2021-01-26,10488455272.05703
2021-01-27,10474356524.979374
2021-01-28,10459290059.174068
2021-01-29,10467623819.772966
2021-02-01,10467249904.856049
2021-02-02,10467249904.856049
2021-02-03,10468368284.232294
2021-02-04,10468137455.472313
2021-02-05,10469570410.327547
2021-02-08,10468046658.614904
2021-02-09,10470490698.21581
2021-02-17,10475071316.39351
2021-02-18,10476492564.819338
2021-02-19,10475323901.23863
2021-02-22,10474620257.627035
2021-02-23,10474574843.28203
2021-02-24,10473044306.41914
2021-02-25,10473233190.694662
2021-02-26,10474586738.255072
2021-03-01,10479733443.44064
2021-03-02,10479463721.721155
2021-03-03,10479037033.864048
2021-03-04,10472282161.746967
2021-03-05,10473438293.545193
2021-03-08,10478243319.661762
2021-03-09,10476919927.3937
2021-03-10,10476490271.013151
2021-03-11,10484137395.51772
2021-03-12,10486356429.784178
2021-03-15,10486345513.02525
2021-03-16,10483282490.786568
2021-03-17,10485953720.373243
2021-03-18,10491354643.556376
2021-03-19,10495859683.19703
2021-03-22,10493577677.816534
2021-03-23,10491012439.192526
2021-03-24,10478428436.370724
2021-03-25,10476442873.00019
2021-03-26,10475169841.989117
2021-03-29,10481008481.652456
2021-03-30,10492249412.475988
2021-03-31,10492334865.939508
2021-04-01,10513299823.456535
2021-04-02,10522583116.660915
2021-04-05,10534457195.09658
2021-04-06,10533024803.50772
2021-04-07,10538782972.2248
2021-04-08,10541938149.21587
2021-04-09,10545119532.673388
2021-04-12,10561149643.044388
2021-04-13,10548776751.59784
2021-04-14,10551403686.58372
2021-04-15,10537606893.590084
2021-04-16,10538188734.995825
2021-04-19,10560566271.247274
2021-04-20,10559719061.980022
2021-04-22,10513034241.21991
2021-04-23,10540045040.247358
2021-04-26,10532932633.31846
2021-04-27,10526445879.776129
2021-04-28,10532711046.026596
2021-04-29,10534131543.416634
2021-05-04,10543234810.77285
2021-05-05,10541867845.10534
2021-05-06,10541803126.796797
2021-05-07,10541212101.086489
2021-05-10,10542609156.42439
2021-05-11,10542505942.686869
2021-05-12,10543558151.022156
2021-05-13,10543031255.657902
2021-05-14,10542923531.322872
2021-05-17,10542024886.540125
2021-05-18,10541964406.91082
2021-05-19,10542774729.831455
2021-05-20,10544329620.441095
2021-05-21,10544110529.945051
2021-05-24,10544484767.964005
2021-05-25,10544728662.39915
2021-05-26,10544898364.343008
2021-05-27,10544229864.7935
2021-05-28,10546344775.023468
2021-05-31,10548276087.918684
2021-06-01,10547915798.101282
2021-06-02,10547783328.79782
2021-06-03,10550378860.44116
2021-06-04,10551147897.06766
2021-06-07,10549355851.315958
2021-06-08,10543195600.738094
2021-06-09,10544501102.159082
2021-06-10,10541292024.607786
2021-06-11,10545740987.975449
2021-06-14,10548848587.521338
2021-06-15,10551451520.487616
2021-06-16,10549068618.174212
2021-06-17,10552024942.190315
2021-06-18,10552527163.509024
2021-06-21,10550856674.278685
2021-06-22,10551528255.960686
2021-06-23,10549690013.957394
2021-06-24,10549331641.612762
2021-06-25,10552565223.355127
2021-06-28,10554725560.577576
2021-06-29,10555489194.208082
2021-06-30,10553308911.427645
2021-07-01,10555619434.590511
2021-07-02,10555832843.22049
2021-07-05,10550581411.719145
2021-07-06,10535717362.572697
2021-07-07,10539283082.843754
2021-07-08,10536219832.56922
2021-07-09,10527689317.834166
2021-07-12,10520136090.842876
2021-07-13,10522248436.568876
2021-07-14,10519340421.387594
2021-07-15,10521149084.970114
2021-07-16,10527131601.707222
2021-07-19,10513295799.013483
2021-07-20,10521542996.082788
2021-07-21,10520246695.114922
2021-07-22,10532304941.661629
2021-07-23,10519066395.019024
2021-07-26,10527168745.86218
2021-07-27,10535395686.2705
2021-07-28,10533894200.385586
2021-07-29,10545356777.32253
2021-07-30,10564892346.312937
2021-08-02,10570500424.75549
2021-08-03,10589480238.2472
2021-08-04,10586964887.255009
2021-08-05,10590120337.171057
2021-08-06,10586379061.914192
2021-08-09,10608984760.540125
2021-08-10,10608572208.82556
2021-08-11,10589400064.171535
2021-08-12,10578838904.54231
2021-08-13,10581826957.714418
2021-08-16,10592861211.707424
2021-08-17,10591144548.378456
2021-08-18,10597858521.957258
2021-08-19,10623053031.93954
2021-08-20,10566649963.650543
2021-08-23,10509322710.12431
2021-08-24,10519788815.411892
2021-08-25,10544236448.68116
2021-08-26,10530848020.72971
2021-08-27,10564560020.597916
2021-08-30,10563383464.067007
2021-08-31,10583513448.33083
2021-09-01,10570469163.0041
2021-09-06,10581737729.59088
2021-09-07,10543881931.36373
2021-09-08,10537895161.793964
2021-09-09,10552640201.956972
2021-09-10,10543306265.468544
2021-09-13,10544660235.297464
2021-09-14,10557591255.488531
2021-09-15,10611330149.74938
2021-09-16,10620980728.641888
2021-09-17,10609130041.026936
2021-09-20,10592267495.701645
2021-09-21,10586293787.618246
2021-09-22,10612789609.222744
2021-09-23,10602203178.990206
2021-09-24,10578433780.542292
2021-09-27,10500203239.42936
2021-09-28,10548956771.54746
2021-09-29,10570276169.391684
2021-09-30,10596112769.578484
2021-10-01,10586776447.95171
2021-10-04,10612036403.142292
2021-10-05,10632930267.267944
2021-10-06,10654406151.3498
2021-10-07,10664552099.778889
2021-10-08,10717566072.630089
2021-10-11,10770390490.763262
2021-10-12,10782104761.527864
2021-10-13,10777267849.13544
2021-10-14,10778979078.690483
2021-10-15,10763615274.140202
2021-10-18,10804177282.3734
2021-10-19,10789479639.440536
